Image_path,Emotional_coloring,Plot_complexity,Interest,Sound_quality
медведь в лесу_001.jpeg,8,5,0,0
медведь в лесу_002.jpeg,10,5,10,10
медведь в лесу_003.jpeg,0,0,0,0
медведь в лесу_004.jpeg,0,0,0,0
медведь в лесу_005.jpeg,0,0,0,0
медведь в лесу_006.jpeg,0,0,0,0
медведь в лесу_007.jpeg,0,0,0,0
медведь в лесу_008.jpeg,0,0,0,0
медведь в лесу_009.jpeg,0,0,0,0
медведь в лесу_010.jpeg,0,0,0,0
медведь в лесу_011.jpeg,0,0,0,0
медведь в лесу_012.jpeg,0,0,0,0
пожар в лесу_002.jpeg,0,0,0,0
пожар в лесу_003.jpeg,0,0,0,0
пожар в лесу_004.jpeg,0,0,0,0
пожар в лесу_006.jpeg,0,0,0,0
пожар в лесу_008.jpeg,0,0,0,0
пожар в лесу_009.jpeg,0,0,0,0
пожар в лесу_010.jpeg,0,0,0,0
пожар в лесу_012.jpeg,0,0,0,0
пожар в лесу_013.jpeg,0,0,0,0
робот гуманоид_001.jpeg,0,0,0,0
робот гуманоид_002.jpeg,0,0,0,0
робот гуманоид_004.jpeg,0,0,0,0
робот гуманоид_005.jpeg,0,0,0,0
робот гуманоид_006.jpeg,0,0,0,0
робот гуманоид_007.jpeg,0,0,0,0
робот гуманоид_008.jpeg,0,0,0,0
робот гуманоид_009.jpeg,0,0,0,0
робот гуманоид_010.jpeg,0,0,0,0
робот гуманоид_011.jpeg,0,0,0,0
робот гуманоид_012.jpeg,0,0,0,0
собаки в цветах_001.jpeg,0,0,0,0
собаки в цветах_002.jpeg,0,0,0,0
собаки в цветах_003.jpeg,0,0,0,0
собаки в цветах_004.jpeg,0,0,0,0
собаки в цветах_005.jpeg,0,0,0,0
собаки в цветах_006.jpeg,0,0,0,0
собаки в цветах_007.jpeg,0,0,0,0
собаки в цветах_008.jpeg,0,0,0,0
собаки в цветах_009.jpeg,0,0,0,0
собаки в цветах_010.jpeg,0,0,0,0
собаки в цветах_011.jpeg,0,0,0,0
собаки в цветах_012.jpeg,3,2,10,10
собаки в цветах_013.jpeg,10,10,10,10
